,Weighted_Performance
2015-05-29,0.006613081517280147
2015-06-01,0.0009535442197639236
2015-06-02,0.04478107012592598
2015-06-03,-0.021560059988707896
2015-06-04,0.0101311226736157
2015-06-05,-0.0076623920454614615
2015-06-08,0.04859001434886473
2015-06-09,-0.020369663674500438
2015-06-10,-0.05052928138067389
2015-06-11,0.02225581886597204
2015-06-12,-0.0029888904536800646
2015-06-15,-0.003077422734033135
2015-06-16,0.03072918367311436
2015-06-17,0.03505021441303449
2015-06-18,-0.022723998724401694
2015-06-19,-0.061141641230035654
2015-06-22,0.01817159156177829
2015-06-23,-0.039849629846178417
2015-06-24,-0.028184440872070532
2015-06-25,-0.01223221594815234
2015-06-26,-0.03300295912371795
2015-06-29,-0.11191566379220533
2015-06-30,0.02816505588454602
2015-07-01,-0.05553192199118585
2015-07-02,0.027620715918803405
2015-07-03,-0.03401007708727587
2015-07-06,0.03392919449025605
2015-07-07,0.003497515933201114
2015-07-08,0.04052071241623827
2015-07-09,-0.03451717544305716
2015-07-10,-0.04509127091537368
2015-07-13,-0.011472988768882858
2015-07-14,0.03588183803005218
2015-07-15,-0.010549616399821903
2015-07-16,0.0017576812317512155
2015-07-17,-0.02347083851207736
2015-07-20,-0.04515012780209317
2015-07-21,0.0341093486556543
2015-07-22,-0.06507841809491804
2015-07-23,0.02393593987350162
2015-07-24,-0.04501182217076681
2015-07-27,-0.003663668074889772
2015-07-28,-0.007122125197820002
2015-07-29,-0.01585519242907465
2015-07-30,0.02451963572901365
2015-07-31,0.005008265805493015
2015-08-03,-0.0109310198617668
2015-08-04,-0.000627955342659109
2015-08-05,0.02097311150433106
2015-08-06,-0.01905432701957332
2015-08-07,0.00043637321402668363
2015-08-10,-0.005765231286632793
2015-08-11,0.04723313277286285
2015-08-12,0.020921122019371192
2015-08-13,-0.0564554771167653
2015-08-14,0.008861735860887773
2015-08-17,0.007882313717156541
2015-08-18,0.004455554302851002
2015-08-19,0.000259214758773776
2015-08-20,-0.00038881373960781326
2015-08-21,0.05414366763616721
2015-08-24,-0.05392821200788562
2015-08-25,0.015360028898345928
2015-08-26,0.005149149517675135
2015-08-27,-0.027402238725333813
2015-08-28,-0.12109641111204812
2015-08-31,-0.0037405088253958684
2015-09-01,0.0676739726010129
2015-09-02,-0.02019572392956417
2015-09-03,0.032343721448381685
2015-09-04,-0.05146129049455608
2015-09-07,-0.007980889613464454
2015-09-08,-0.004851643179180294
2015-09-09,0.015810180527119414
2015-09-10,0.03836403370348425
2015-09-11,-0.024492325904982806
2015-09-14,-0.0045253488685519415
2015-09-15,0.008354278785732739
2015-09-16,0.0561228021114305
2015-09-17,0.005535317505949444
2015-09-18,0.010734071323540286
2015-09-21,-0.07019197212683873
2015-09-22,-0.13535127585090365
2015-09-23,-0.09282949996123782
2015-09-24,0.011793183016200337
2015-09-25,0.027907395025623106
2015-09-28,-0.01725068341465693
2015-09-29,0.002545774105347863
2015-09-30,0.03640621691672257
2015-10-01,-0.020738398712167948
2015-10-02,-0.02213362266522738
2015-10-05,0.07679383091174684
2015-10-06,0.18688750570061816
2015-10-07,0.1725436699653135
2015-10-08,0.1973665233285461
2015-10-09,0.1455840477535344
2015-10-12,0.031030451325400728
2015-10-13,-0.36262814003022115
2015-10-14,0.14554751825513146
2015-10-15,0.24901267546190464
2015-10-16,-0.10890093250821045
2015-10-19,-0.10356826122593615
2015-10-20,-0.03920035813543489
2015-10-21,-0.14820213967017132
2015-10-22,0.14394775544884583
2015-10-23,-0.0846780993901474
2015-10-26,-0.017314967805724
2015-10-27,-0.0062898269154732815
2015-10-28,0.049998961513105386
2015-10-29,-0.09654319566910521
2015-10-30,0.0012810202269899363
2015-11-02,0.013665231688481978
2015-11-03,0.17551681518157203
2015-11-04,-0.09126902272406487
2015-11-05,-0.018085350949277868
2015-11-06,-0.06639077793379687
2015-11-09,-0.08645042752292965
2015-11-10,0.04165044087936733
2015-11-11,-0.01747109100946345
2015-11-12,-0.00120505935335387
2015-11-13,-0.0650370093698184
2015-11-16,0.004274290138023784
2015-11-17,0.021742203382496775
2015-11-18,0.044440855638423704
2015-11-19,0.025905485219140545
